Nome;Código;PER;CHT;CHP;CHD;CHE;TOT;FLX;OBR;OPT;A|B;EXT;FORM_BAS;FORM_HUM;FORM_TEC;FORM_CMP;CC_UO1;CC_SM2;CC_SAI3;CC_SD4;CC_SF5;CC_HW6;PREQ;CREQ;Elementos41;Níveis41;Elementos42;Níveis42;Disposições;Ementa;QEXTR
Otimização;FACOM31601;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Programação Lógica;GBC025;-1;30;30;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Programação para Dispositivos Móveis;FACOM32503;-1;30;30;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Projeto de Redes de Computadores;GBC219;-1;45;15;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Programação Paralela e Distribuída;GSI059;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Criptografia;FACOM39044;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Multimídia;GBC213;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Sinais e Multimídia;FEELT31526;-1;30;15;0;0;45;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Bioinformática;FACOM39042;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Data Warehouse  ;FACOM39049;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Processamento Digital de Imagens;GSI058;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Processamento Digital de Imagens;FACOM39053;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Programação para Internet;GBC084;-1;30;30;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Princípios e Padrões de Projeto;FACOM31401;-1;30;30;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Língua Brasileira de Sinais - Libras I;LIBRAS01;-1;30;30;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;1
Língua Brasileira de Sinais - Libras II;LIBRAS02;-1;30;30;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Sistemas Distribuídos;GBC074;-1;60;0;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT!SD Sistemas Distribuídos;0
Sistemas Distribuídos;FACOM32606;-1;60;0;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT!SD Sistemas Distribuídos;0
Arquitetura de Redes de Computadores;GBC056;-1;60;0;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT31724 Redes de Comunicações I;0
Redes Industriais para Controle e Automação I;FEELT31713;-1;60;15;0;0;75;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT31724 Redes de Comunicações I;0
Arquitetura de Redes TCP/IP;GBC066;-1;30;30;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT31831 Redes de Comunicações II;0
Redes Industriais para Controle e Automação II;FEELT32801;-1;30;60;0;0;90;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT31831 Redes de Comunicações II;0
Inteligência Artificial;FACOM39050;-1;60;0;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT!FIA Fundamentos da Inteligência Artificial;0
Inteligência Artificial;GBC063;-1;60;0;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT!FIA Fundamentos da Inteligência Artificial;0
Gerenciamento de Projetos;FAGEN32502;-1;30;30;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FAGEN39401 Empreendorismo e Inovação;0
Administração;FAGEN39901;-1;60;0;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FAGEN39401 Empreendorismo e Inovação;0
Ciências Econômicas;IERI39001;-1;60;0;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;IERI39601 Engenharia Econômica;0
Ciências Econômicas;IEUFU39901;-1;60;0;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;IERI39601 Engenharia Econômica;0
Programação Funcional;GBC033;-1;30;30;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT!PF Programação Funcional;0
Linguagens Formais e Autômatos;GBC044;-1;60;0;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT!TCOMP Teoria da Computação;0
Algoritmos e Estrutura de Dados I;FACOM31201;-1;45;15;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT!ED Estrutura de Dados;0
Algoritmos e Estruturas de Dados II;FACOM31303;-1;60;0;0;0;60;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT!AA Análise de Algoritmos;0
Sistemas de Banco de Dados;GBC043;-1;60;30;0;0;90;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT!BD Banco de Dados;0
Sistemas Operacionais;GBC045;-1;60;30;0;0;90;False;True;False;;;;;;;;;;;;;;;;;;;;FEELT!SO Sistemas Operacionais;0
Gerenciamento de Banco de Dados;GBC053;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Mineração de Dados;GBC212;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Mineração de Dados;GBC212;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Mineração de Dados;GSI055;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Inteligência Artificial Aplicada aos Negócios;GSI051;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Inteligência Artificial Aplicada aos Negócios;GBC209;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Ciência de Dados I;FACOM32602;-1;30;30;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Ciência de Dados II;FACOM32701;-1;30;30;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Contratos Inteligentes e Segurança Blockchain;FEELT39040O;-1;30;15;0;0;45;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Tópicos Especiais em Engenharia de Computação: Cloud Computing Architecture AWS;FEELT39040C;-1;30;15;0;0;45;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Tópicos Especiais em Engenharia de Computação: Bancos de Dados Não Relacionais;FEELT39040E;-1;30;15;0;0;45;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Tópicos Especiais em Engenharia de Computação: Desenvolvimento de Jogos com uso de Realidade Virtual e Aumentada;FEELT39040F;-1;30;15;0;0;45;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Desenvolvimento de MOOCs;FEELT39041;-1;30;15;0;0;45;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Resolução de Problemas;FEELT39042;-1;30;15;0;0;45;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Micro e Nanoeletrônica;FEELT39043;-1;30;15;0;0;45;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Tópicos Especiais em Engenharia de Computação: Desenvolvimento de hardware microcontrolado e firmware para IoT;FEELT39040P;-1;30;15;0;0;45;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Tópicos Especiais em Engenharia de Computação: Computação Evolutiva;FEELT39040G;-1;30;15;0;0;45;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Computação Evolutiva;GBC210;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Construção de Compiladores;GBC071;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
Computação Gráfica;GBC204;-1;60;0;0;0;60;False;False;True;;;;;;;;;;;;;;;;;;;;;0
