Nome;Código;PER;CHT;CHP;CHD;CHE;TOT;FLX;OBR;OPT;A|B;EXT;FORM_BAS;FORM_HUM;FORM_TEC;FORM_CMP;CC_UO1;CC_SM2;CC_SAI3;CC_SD4;CC_SF5;CC_HW6;PREQ;CREQ;Elementos41;Níveis41;Elementos42;Níveis42;Disposições;Ementa
Cálculo Numérico;FAMAT31032;5;60;0;0;0;60;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;FAMAT31013/FAMAT31022;;;;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;
Eletrônica Analógica I;FEELT31401;5;60;0;0;0;60;True;True;False;A;False;False;False;True;False;False;False;False;False;False;True;FEELT31301;FEELT31402;Circuitos e Eletrônica|Processamento de Sinais;Análise|Aplicação;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Responsável;
Eletrônica Analógica I, Experimental de;FEELT31402;5;0;30;0;0;30;True;True;False;A;False;False;False;True;False;False;False;False;False;False;True;;FEELT31401;Circuitos e Eletrônica|Processamento de Sinais;Análise|Aplicação;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Responsável;
Engenharia de Software;FEELT!ESOF;5;45;0;0;0;45;True;True;False;A;False;False;False;True;False;False;False;False;True;False;False;FEELT!BD/FEELT!POO;;Processos de Software|Modelagem e Análise de Software|Qualidade de Software; Verificação e Validação;Análise|Análise|Aplicação;Pensamento Analítico e Crítico|Organização e Planejamento de Projetos e Tarefas;Análise|Aplicação;Adaptável|Colaborativo|Orientado por Propósito
Estatística;FAMAT31033;4;60;0;0;0;60;True;True;False;A;False;True;False;False;False;False;False;False;False;False;False;;;;;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação|Aplicação;Meticuloso|Adaptável|Orientado por Propósito;
Programação Web;FEELT!PW;5;30;15;0;0;45;False;False;False;A;False;False;False;True;False;False;True;False;False;False;False;FEELT!BD;;Análise e Design de Sistemas|Questões e Princípios de Segurança|Gestão de Dados e Informações;Análise|Aplicação|Aplicação;Pesquisa e Aprendizagem Independente|Resolução de Problemas e Solução de Erros;Aplicação|Aplicação;Inventivo|Adaptável|Colaborativo;
Sistemas Operacionais;FEELT!SO;5;45;0;0;0;45;True;True;False;A;False;False;False;True;False;False;False;False;False;True;False;FEELT!PP/FEELT!AOC;;Sistemas Operacionais;Análise;Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros|Organização e Planejamento de Projetos e Tarefas;Análise|Aplicação|Avaliação;Adaptável|Responsável|Meticuloso;
Atividades Curriculares de Extensão III;ACE3;6;-1;-1;-1;85;85;True;False;False;A;True;False;True;False;False;False;False;False;False;False;False;ACE2;;;;;;;
Sistemas Embarcados I;FEELT31523;6;45;30;0;0;75;True;True;False;A;False;False;False;True;False;False;False;True;False;False;False;FEELT!AOC/FEELT31401/FEELT!SO;;Sistemas Embarcados|Tecnologia de Sistemas Integrados;Análise|Aplicação;Resolução de Problemas e Solução de Erros|Pensamento Analítico e Crítico;Aplicação|Aplicação;Adaptável|Proativo|Responsável;
Sistemas Computacionais em Tempo Real;FEELT!SCTR;7;15;30;0;0;45;True;True;False;A;False;False;False;True;False;False;False;True;False;False;False;FEELT31523;;Sistemas Embarcados|Tecnologia de Sistemas Integrados;Análise|Aplicação;Resolução de Problemas e Solução de Erros|Pensamento Analítico e Crítico;Aplicação|Aplicação;Adaptável|Proativo|Responsável;
Inteligência Artificial, Ética e Sociedade;FEELT!IAES;3;30;0;0;0;30;True;True;False;A;False;False;True;False;False;True;False;False;False;False;False;;;Questões Sociais e Prática Profissional;Compreensão;Perspectivas Éticas e Interculturais|Pensamento Analítico e Crítico;Compreensão|Aplicação;Responsável|Meticuloso|Profissional;
Fundamentos da Inteligência Artificial;FEELT!FIA;5;30;15;0;0;45;True;True;False;A;False;False;False;True;False;False;False;True;False;False;False;FAMAT31033;;Sistemas Inteligentes (IA);Análise;Matemática e Estatística|Resolução de Problemas e Solução de Erros|Pensamento Analítico e Crítico;Análise|Aplicação|Análise;Inventivo|Responsável|Orientado por Propósito;
Sistemas Distribuídos;FEELT!SD;8;45;0;0;0;45;True;True;False;A;False;False;False;True;False;False;False;True;False;False;False;FEELT31724;;Computação Paralela e Distribuída|Redes de Computadores;Aplicação|Aplicação;Resolução de Problemas e Solução de Erros|Comunicação Oral e Apresentação;Aplicação|Aplicação;Adaptável|Inventivo|Colaborativo;
Processamento Digital de Sinais;FEELT31628;6;45;15;0;0;60;True;True;False;A;False;False;False;True;False;False;False;False;False;False;True;FAMAT31031;;Processamento de Sinais;Análise;Matemática e Estatística|Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros;Análise|Análise|Aplicação;Meticuloso|Adaptável|Inventivo;
Sistemas e Controle;FEELT!SCON;7;30;15;0;0;45;True;True;False;A;False;False;False;True;False;False;False;True;False;False;False;FEELT31628;;Redes de Computadores;Análise;Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros|Organização e Planejamento de Projetos e Tarefas;Análise|Aplicação|Avaliação;Adaptável|Meticuloso|Orientado por Propósito;
Redes de Comunicações I;FEELT31724;6;45;15;0;0;60;True;True;False;A;False;False;False;True;False;False;False;True;False;False;False;FEELT!SO;;Redes de Computadores;Análise;Pensamento Analítico e Crítico|Resolução de Problemas e Solução de Erros|Organização e Planejamento de Projetos e Tarefas;Análise|Aplicação|Avaliação;Adaptável|Meticuloso|Orientado por Propósito;
